licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Mwp374,Publican's Licence (7-Day Ordinary),Alan Maher And Payam Eshtari,Kerins Bar,Payam Eshtari,11 Pearse Square,Fermoy,,Co. Cork
1010522,Wholesaler Dealer in Wine & Spirits,Great Brands Limited,Great Brands Limited,Damien Cremin,Cork Bonded Warehouse,Little Island,,Co. Cork
1011680,Wholesaler Dealer in Beer,Great Brands Limited,Great Brands Limited,Damien Cremin,Unit Four,Cork Bonded Warehouse,Little-island,Co. Cork
Cxp996,Publican's Licence (7-Day Ordinary),Mount Oval Tavern Limited,,John Gaffney,Mount Oval Bar And Restaurant,Mount Oval,Rochestown,Co. Cork
Cxo281,Wine Retailer's Off Licence,Con Cottrell,Tulligmore Stores,,Ballinhassig,,,Co. Cork
1008600,Wine Retailer's On Licence,Sorrento Ristorante Italiano Limited,Marcello's,Marcello Liotta,7/8 Douglas East,Cork,,Co. Cork
1011348,Wine Retailer's On Licence,Comix Bistro Limited,Comix Bistro,Tomasz Krupa,7 Maylor Street,,,Co. Cork
Byp275,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Dunmore House Hotel Limited,Dunmore House Hotel,Carol Barrett,Muckross,Clonakilty,,Co. Cork
Byp356,Publican's Licence (7-Day Ordinary),Robert Blackwell,De Barra,,55/56 Pearse Street,Clonakilty,,Co. Cork
Byp404,Publican's Licence (7-Day Ordinary),Robert Blackwell,Deasys,,Ring,Clonakilty,,Co. Cork
Cxp488,Publican's Licence (7-Day Ordinary),Cmb City Taverns Limited,Ziggy's,,26 South Main Street,Cork,,Co. Cork
Cxp782,Publican's Licence (7-Day Ordinary),Little Norah's Limited,Litte Norah's,Liam Crowley,North Main Street,Bandon,,Co. Cork
Mwp011,Publican's Licence (7-Day Ordinary),Finbarr Courtney Limited,The White Country Inn,,Banteer,,,Co. Cork
1008854,Manufacturer's Licence - Rectifier of Spirits,St Patricks Distillery Limited,St Particks Distillery,Cyril Walsh,Unit 105 St Patricks Mills,Douglas,,Co. Cork
